model,comparison,group_A,group_B,metric,n_iters,mean_A,mean_B,mean_diff,t_statistic,p_value,cohens_d,ci_95_lower,ci_95_upper,significant
BERT_MLP,single_pass → multi_agent_all,single_pass,multi_agent_all,accuracy,50,0.974115,0.974035,-8e-05,-0.2255,0.8225,-0.0319,-0.00079,0.00063,No
BERT_MLP,single_pass → multi_agent_all,single_pass,multi_agent_all,recall,50,0.76018,0.761802,0.001622,0.4414,0.6608,0.0624,-0.005761,0.009004,No
BERT_MLP,single_pass → multi_agent_all,single_pass,multi_agent_all,f1,50,0.787296,0.787144,-0.000152,-0.0589,0.9533,-0.0083,-0.00535,0.005046,No
BERT_MLP,single_pass → multi_agent_all,single_pass,multi_agent_all,pr_auc,50,0.849598,0.847925,-0.001674,-0.775,0.4421,-0.1096,-0.006014,0.002666,No
BERT_MLP,multi_agent_lc → multi_agent_all (ablation),multi_agent_lc,multi_agent_all,accuracy,50,0.974468,0.974035,-0.000433,-1.2159,0.2298,-0.172,-0.001147,0.000282,No
BERT_MLP,multi_agent_lc → multi_agent_all (ablation),multi_agent_lc,multi_agent_all,recall,50,0.762342,0.761802,-0.000541,-0.1418,0.8878,-0.02,-0.008203,0.007121,No
BERT_MLP,multi_agent_lc → multi_agent_all (ablation),multi_agent_lc,multi_agent_all,f1,50,0.790221,0.787144,-0.003077,-1.2049,0.234,-0.1704,-0.008209,0.002055,No
BERT_MLP,multi_agent_lc → multi_agent_all (ablation),multi_agent_lc,multi_agent_all,pr_auc,50,0.84651,0.847925,0.001414,0.8731,0.3869,0.1235,-0.001841,0.00467,No
BERT_MLP,multi_agent_cc → multi_agent_all (ablation),multi_agent_cc,multi_agent_all,accuracy,50,0.974274,0.974035,-0.000239,-0.7007,0.4868,-0.0991,-0.000925,0.000446,No
BERT_MLP,multi_agent_cc → multi_agent_all (ablation),multi_agent_cc,multi_agent_all,recall,50,0.762162,0.761802,-0.00036,-0.0927,0.9265,-0.0131,-0.00817,0.007449,No
BERT_MLP,multi_agent_cc → multi_agent_all (ablation),multi_agent_cc,multi_agent_all,f1,50,0.788977,0.787144,-0.001833,-0.6839,0.4972,-0.0967,-0.007221,0.003554,No
BERT_MLP,multi_agent_cc → multi_agent_all (ablation),multi_agent_cc,multi_agent_all,pr_auc,50,0.847223,0.847925,0.000702,0.5156,0.6085,0.0729,-0.002033,0.003436,No
BERT_MLP,multi_agent_ls → multi_agent_all (ablation),multi_agent_ls,multi_agent_all,accuracy,50,0.974081,0.974035,-4.6e-05,-0.1281,0.8986,-0.0181,-0.00076,0.000669,No
BERT_MLP,multi_agent_ls → multi_agent_all (ablation),multi_agent_ls,multi_agent_all,recall,50,0.757117,0.761802,0.004685,1.3408,0.1862,0.1896,-0.002336,0.011706,No
BERT_MLP,multi_agent_ls → multi_agent_all (ablation),multi_agent_ls,multi_agent_all,f1,50,0.786461,0.787144,0.000683,0.281,0.7799,0.0397,-0.004204,0.00557,No
BERT_MLP,multi_agent_ls → multi_agent_all (ablation),multi_agent_ls,multi_agent_all,pr_auc,50,0.845047,0.847925,0.002878,1.6056,0.1148,0.2271,-0.000724,0.00648,No
